Functio  Data                               		Address                           		DestReg   DataIn                             		mdelay      AddressOut                               	MemData                        		 word    memread     memwrite           WriteData                           WriteDestReg 	        stall		WriteFunctio
LUI--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	LUI--
AUIPC    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  1            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  1	NOP--
JAL--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	JAL--
JALR-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	JALR-
BEQ--   	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	BEQ--
BNE--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	BNE--
BGE--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	BGE--
BLTU-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	BLTU-
BGEU-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001 11      0               0                00000000000000000000000000000001  00001                  0	BGEU-
LB---    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001 00      1               0                00000000000000000000000000000011  00001                  0	LB---
LH---    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001 01      1               0                00000000000000000000000000000011  00001                  0	LH---
LW---    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001 10      1               0                00000000000000000000000000000011  00001                  0	LW---
LBU--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00001100000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001  00     1               0                00000000000000000000000000000011  00001                  0	LBU--
LHU--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001  01     1               0                00000000000000000000000000000011  00001                  0	LHU--
SB---    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001  00     0               1                00000000000000000000000000000001  00001                  0	SB---
SH---    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001  01     0               1                00000000000000000000000000000001  00001                  0	SH---
SW---    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000010  00000000000000000000000000000001  10     0               1                00000000000000000000000000000001  00001                  0	SW---
ADDI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	ADDI-
SLTI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SLTI-
SLTIU    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SLTIU
XORI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	XORI-
ORI--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	ORI--
ANDI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	ANDI-
SLLI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SLLI-
SRLI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SRLI-
SRAI-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SRAI-
ADDr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	ADDr-
SUBr-   	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SUBr-
SLLr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SLLr-
SLTr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SLTr-
SLTUr    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SLTUr
XORr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	XORr-
SRLr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SRLr-
SRAr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	SRAr-
ORr--    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	ORr--
ANDr-    	00000000000000000000000000000001 00000000000000000000000000000010  00001      00000000000000000000000000000011  0            00000000000000000000000000000000  00000000000000000000000000000001  11     0               0                00000000000000000000000000000001  00001                  0	ANDr-
